@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric
@attribute outputs-16 numeric
@attribute outputs-17 numeric
@attribute outputs-18 numeric
@attribute outputs-19 numeric
@attribute outputs-20 numeric

@data
2969,'2019/07/08 17:20:47:565',9,452.246857,385.187164,43.842487,526.998047,377.232727,60.332653,611.421875,382.719727,62.107906,688.670227,391.634735,57.415699,728.856445,405.965149,48.863384,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2970,'2019/07/08 17:20:47:650',9,452.727997,385.47702,43.932125,527.817444,377.128784,60.473404,612.714294,382.272797,62.225906,690.01947,391.198608,57.502605,729.072144,405.792053,49.033062,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2971,'2019/07/08 17:20:47:743',9,452.819641,385.496063,43.964371,527.891479,376.43576,60.539566,612.885986,381.410706,62.289993,688.216431,391.593353,57.632896,726.346008,406.774872,49.237961,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2972,'2019/07/08 17:20:47:815',9,452.890106,385.554077,43.994583,527.526062,376.32666,60.528454,612.21167,381.462769,62.293827,687.434692,391.627136,57.658237,725.183228,407.118958,49.279243,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2973,'2019/07/08 17:20:47:879',9,453.067719,385.879395,44.025291,527.224365,376.591522,60.519234,611.590088,381.752258,62.291016,688.34082,390.841003,57.619789,724.256958,407.460327,49.285484,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2974,'2019/07/08 17:20:47:992',9,452.854431,385.460052,44.043476,526.716431,376.342896,60.523506,611.17395,382.025024,62.294823,687.803406,391.198669,57.632915,726.915405,405.65741,49.202518,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2975,'2019/07/08 17:20:48:040',9,452.662964,385.336975,44.067333,526.360474,376.070007,60.549759,611.361755,381.417877,62.314369,687.955872,390.739655,57.636806,726.17572,406.199341,49.21534,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2976,'2019/07/08 17:20:48:143',9,452.13208,384.623657,44.028782,526.122803,375.102081,60.555504,611.099976,380.562225,62.309845,687.086609,390.445343,57.635899,724.172852,406.309998,49.276421,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2977,'2019/07/08 17:20:48:194',9,452.070129,383.981873,44.030247,525.999512,374.385773,60.565372,611.070679,379.908325,62.300175,687.418457,389.582977,57.600212,723.332397,406.13446,49.269817,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2978,'2019/07/08 17:20:48:310',9,452.348572,383.046387,43.975853,526.244507,373.523621,60.506336,611.195007,379.01416,62.231731,686.796021,389.580933,57.558598,722.551392,405.690308,49.274406,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
